,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,sistranda,63.73,8.83,26.6,86,20,17.22,NO,1609800421
213,gariaband,20.64,82.06,59.95,54,100,2.44,IN,1609800421
214,lagoa,39.05,-27.98,61.38,83,99,27.2,PT,1609800421
215,chengdu,30.67,104.07,39.2,100,86,2.57,CN,1609800399
216,belyy yar,53.6,91.39,-18.4,82,40,2.59,RU,1609800142
217,pinega,64.7,43.39,4.03,94,96,3.2,RU,1609800201
218,riyadh,24.69,46.72,59.0,58,40,3.36,SA,1609800405
219,barreirinhas,-2.75,-42.83,79.12,79,85,7.43,BR,1609800200
220,champagnole,46.74,5.91,28.99,91,100,3.0,FR,1609800421
221,shimoda,34.67,138.95,50.74,47,96,18.45,JP,1609800421
222,santa rosa,14.31,121.11,77.0,88,20,8.32,PH,1609800421
223,khatanga,71.97,102.5,-10.05,87,37,14.54,RU,1609800421
224,sisimiut,66.94,-53.67,15.84,95,100,8.08,GL,1609800421
225,harper,4.38,-7.72,78.89,82,39,6.64,LR,1609800421
226,zanjan,36.67,48.48,22.51,92,49,3.96,IR,1609800421
227,beloha,-25.17,45.05,72.84,77,59,2.95,MG,1609800421
228,puerto madryn,-42.77,-65.04,63.37,46,0,19.22,AR,1609800397
229,biak,-0.91,122.88,78.8,78,76,4.68,ID,1609800421
230,maldonado,-34.67,-54.92,77.0,78,75,20.8,UY,1609800421
231,lasa,46.62,10.7,33.01,92,5,2.04,IT,1609800422
232,shingu,33.73,135.98,42.08,63,100,3.31,JP,1609800422
233,daru,-9.08,143.21,81.05,81,100,7.94,PG,1609800422
234,chokurdakh,70.63,147.92,-29.04,85,12,10.6,RU,1609800422
235,luderitz,-26.65,15.16,69.8,77,12,4.7,NA,1609800422
236,moissala,8.34,17.77,75.4,20,0,3.53,TD,1609800422
237,hanmer springs,-42.52,172.82,72.68,33,71,3.29,NZ,1609800422
238,salalah,17.02,54.09,71.6,35,0,8.05,OM,1609800422
239,cayenne,4.93,-52.33,77.0,94,68,11.41,GF,1609800423
240,verkhnevilyuysk,63.45,120.32,-35.75,81,92,5.1,RU,1609800423
241,rajula,21.05,71.43,63.28,43,2,13.47,IN,1609800423
242,taguatinga,-12.39,-46.57,76.8,73,79,2.15,BR,1609800423
243,kieta,-6.22,155.63,86.52,58,71,1.63,PG,1609800423
244,ridgecrest,35.62,-117.67,63.0,25,20,8.05,US,1609800423
245,alofi,-19.06,-169.92,84.2,79,40,6.93,NU,1609800423
246,korla,41.76,86.15,12.07,83,0,2.71,CN,1609800423
247,soyo,-6.13,12.37,78.58,88,99,7.43,AO,1609800423
248,brandon,27.94,-82.29,64.4,42,1,5.82,US,1609800206
249,krivosheino,57.34,83.93,-24.99,86,8,3.06,RU,1609800423
250,hamilton,39.18,-84.53,41.0,75,33,1.61,US,1609800367
251,nelson bay,-32.72,152.15,75.0,83,2,8.05,AU,1609800423
252,swarzedz,52.41,17.09,34.0,94,90,6.93,PL,1609800423
253,carballo,43.21,-8.69,39.0,100,75,3.36,ES,1609800423
254,filadelfia,39.95,-75.16,43.0,70,90,4.7,US,1609800246
255,kushima,31.46,131.23,44.6,87,75,4.7,JP,1609800423
256,longyearbyen,78.22,15.64,30.2,92,90,34.45,SJ,1609800423
257,keningau,5.34,116.16,75.2,94,20,2.24,MY,1609800423
258,mogadishu,2.04,45.34,77.09,75,95,21.77,SO,1609800134
259,vila franca do campo,37.72,-25.43,59.0,93,20,16.11,PT,1609800423
260,minatitlan,17.98,-94.52,75.2,88,90,6.93,MX,1609800423
261,el alto,-4.27,-81.21,78.8,65,0,11.41,PE,1609800424
262,zhigansk,66.77,123.37,-39.05,80,45,7.16,RU,1609800424
263,sumbe,-11.21,13.84,76.28,85,43,6.87,AO,1609800424
264,santa maria,-29.68,-53.81,86.0,55,40,5.82,BR,1609800292
265,dubbo,-32.25,148.62,68.0,94,75,1.12,AU,1609800364
266,port moresby,-9.44,147.18,82.4,78,20,5.82,PG,1609800424
267,beba,22.44,-79.73,78.8,65,20,10.29,CU,1609800424
268,bubaque,11.28,-15.83,81.25,65,0,10.2,GW,1609800424
269,flinders,-34.58,150.86,77.0,79,26,4.0,AU,1609800424
270,buraydah,26.33,43.98,57.2,100,75,11.41,SA,1609800136
271,azanka,58.04,64.79,-4.77,91,100,6.38,RU,1609800424
272,saint-augustin,51.23,-58.65,19.18,93,2,1.9,CA,1609800424
273,dundwaraganj,27.73,78.95,62.83,69,48,6.55,IN,1609800424
274,renqiu,38.7,116.09,13.77,66,19,3.09,CN,1609800424
275,ukiah,39.15,-123.21,55.4,62,75,13.87,US,1609800424
276,jardim,-21.48,-56.14,72.23,96,100,3.31,BR,1609800424
277,pangnirtung,66.15,-65.71,-9.4,76,90,11.41,CA,1609800424
278,dauphin,51.15,-100.05,24.57,95,0,10.49,CA,1609800424
279,nikolskoye,59.7,30.79,30.2,74,90,4.47,RU,1609800424
280,ribeira grande,38.52,-28.7,61.63,85,60,29.04,PT,1609800424
281,leningradskiy,69.38,178.42,-6.65,86,100,8.28,RU,1609800154
282,nola,40.92,14.53,46.0,93,0,3.36,IT,1609800425
283,brewster,41.4,-73.62,35.6,80,90,3.36,US,1609800315
284,paltinis,48.22,26.65,41.0,94,100,7.0,RO,1609800425
285,galesong,-5.32,119.37,77.0,94,20,3.36,ID,1609800425
286,homer,59.64,-151.55,28.99,79,90,4.7,US,1609800425
287,laguna,38.42,-121.42,57.2,87,90,11.41,US,1609800395
288,geraldton,-28.77,114.6,73.4,35,0,19.46,AU,1609800425
289,takaka,-40.85,172.8,70.0,64,55,7.0,NZ,1609800425
290,bukama,-9.2,25.85,69.33,95,100,2.91,CD,1609800425
291,porto novo,6.5,2.6,78.8,83,20,5.82,BJ,1609800425
292,otane,-39.88,176.63,83.53,35,31,2.26,NZ,1609800425
293,batagay,67.63,134.63,-40.54,77,25,3.29,RU,1609800425
294,lorengau,-2.02,147.27,84.61,71,80,12.8,PG,1609800425
295,shumskiy,54.83,99.13,-18.47,80,100,8.08,RU,1609800425
296,saint-raymond,45.47,-73.61,28.99,92,91,2.24,CA,1609800425
297,hagi,34.4,131.42,39.2,79,75,2.24,JP,1609800425
298,tomatlan,19.93,-105.25,83.12,45,0,6.55,MX,1609800426
299,manaus,-3.1,-60.02,80.6,78,40,3.36,BR,1609800426
300,collipulli,-37.95,-72.43,82.4,26,0,17.22,CL,1609800426
301,marsabit,2.33,37.99,66.72,65,86,7.61,KE,1609800426
302,sucre,-19.03,-65.26,55.4,87,90,13.87,BO,1609800426
303,langarud,37.2,50.15,46.17,75,98,2.51,IR,1609800128
304,tuatapere,-46.13,167.68,55.99,93,100,1.01,NZ,1609800426
305,obihiro,42.92,143.2,14.52,85,2,6.33,JP,1609800314
306,avarua,-21.21,-159.78,84.2,66,70,20.8,CK,1609800135
307,dzerzhinsk,56.24,43.46,28.0,100,90,4.47,RU,1609800426
308,hutchinson,38.06,-97.93,55.4,24,1,10.29,US,1609800426
309,constitucion,-35.33,-72.42,63.48,55,0,16.6,CL,1609800426
310,maltahohe,-24.83,16.98,70.25,63,74,11.12,NA,1609800426
311,talaja,21.35,72.05,64.13,52,10,11.88,IN,1609800333
312,lavrentiya,65.58,-171.0,-8.18,88,19,10.27,RU,1609800426
313,mount gambier,-37.83,140.77,57.2,71,90,16.11,AU,1609800426
314,bumba,2.18,22.47,73.87,84,100,2.04,CD,1609800313
315,yinchuan,38.47,106.27,11.37,71,0,4.25,CN,1609800426
316,sur,22.57,59.53,65.73,40,0,9.37,OM,1609800397
317,san jeronimo,-11.95,-75.28,53.42,74,100,6.58,PE,1609800427
318,coquimbo,-29.95,-71.34,64.4,72,40,9.17,CL,1609800167
319,manado,1.49,124.85,75.2,100,40,1.12,ID,1609800427
320,meadow lake,34.8,-106.54,53.01,29,20,4.7,US,1609800427
321,abashiri,44.02,144.27,15.03,92,65,11.54,JP,1609800160
322,ventspils,57.39,21.56,30.2,100,90,6.93,LV,1609800427
323,lao cai,22.48,103.95,52.75,82,88,0.85,VN,1609800427
324,port augusta,-32.5,137.77,66.0,72,75,17.22,AU,1609800427
325,nishihara,26.18,127.76,66.2,93,75,27.51,JP,1609800427
326,moerai,-22.43,-151.33,79.97,77,0,19.8,PF,1609800427
327,husavik,66.04,-17.34,39.2,60,20,21.92,IS,1609800427
328,havre-saint-pierre,50.23,-63.6,26.6,79,90,2.24,CA,1609800427
329,wamba,8.93,8.6,79.21,20,0,4.88,NG,1609800427
330,caucaia,-3.74,-38.65,82.4,78,20,9.17,BR,1609800427
331,kabalo,-6.05,26.92,69.62,95,83,1.52,CD,1609800427
332,sidi ali,36.1,0.42,44.85,79,35,9.6,DZ,1609800427
333,champerico,14.3,-91.92,89.6,62,20,9.17,GT,1609800427
334,panthersville,33.71,-84.27,57.2,51,40,8.05,US,1609800428
335,garowe,8.41,48.48,67.37,63,79,12.88,SO,1609800428
336,iqaluit,63.75,-68.51,-18.0,68,20,3.36,CA,1609800211
337,bilibino,68.05,166.44,-26.7,82,100,2.53,RU,1609800428
338,fortuna,40.6,-124.16,50.0,100,75,8.05,US,1609800132
339,markova,48.68,24.41,37.99,88,100,3.0,UA,1609800428
340,katy,29.79,-95.82,75.2,46,1,2.04,US,1609800249
341,shakhtinsk,49.71,72.59,-5.8,63,0,15.66,KZ,1609800428
342,menongue,-14.66,17.69,64.63,84,100,2.15,AO,1609800428
343,zambezi,-13.54,23.1,64.8,89,43,4.65,ZM,1609800428
344,fatsa,41.03,37.5,42.8,75,0,1.12,TR,1609800428
345,bulolo,-7.2,146.65,79.5,64,95,1.14,PG,1609800428
346,znamenskoye,57.13,73.83,-16.42,87,100,5.73,RU,1609800428
347,vanavara,60.34,102.28,-32.39,82,98,6.38,RU,1609800428
348,vangaindrano,-23.35,47.6,73.13,89,51,5.46,MG,1609800428
349,souillac,-20.52,57.52,75.2,88,40,8.05,MU,1609800428
350,coruripe,-10.13,-36.18,77.81,79,3,11.99,BR,1609800428
351,zhuhai,22.28,113.57,64.4,67,0,6.93,CN,1609800428
352,muyezerskiy,63.93,31.65,9.77,96,91,2.48,RU,1609800428
353,isangel,-19.55,169.27,84.2,83,75,8.05,VU,1609800428
354,kedrovyy,56.17,91.82,-25.6,74,0,4.61,RU,1609800428
355,baykit,61.67,96.37,-17.91,81,96,2.71,RU,1609800429
356,buchanan,5.88,-10.05,78.8,94,75,6.2,LR,1609800429
357,buzmeyin,38.05,58.21,28.4,92,90,2.24,TM,1609800429
358,swiecie,53.41,18.45,37.99,95,100,3.0,PL,1609800429
359,alamosa,37.47,-105.87,39.2,38,1,3.36,US,1609800429
360,mananara,-16.17,49.77,71.91,89,10,5.35,MG,1609800429
361,pavlodar,52.3,76.95,-29.2,66,0,6.71,KZ,1609800429
362,camana,-16.62,-72.71,72.05,71,6,4.81,PE,1609800429
363,atikokan,48.76,-91.62,32.04,96,100,8.19,CA,1609800429
364,cacheu,12.27,-16.17,75.2,69,0,2.24,GW,1609800429
365,campo grande,-20.44,-54.65,69.8,94,75,6.93,BR,1609800248
366,praia,14.92,-23.51,73.4,78,40,13.87,CV,1609800326
367,pombia,45.65,8.63,39.2,93,75,6.93,IT,1609800429
368,luan,46.36,6.98,32.0,92,0,2.51,CH,1609800429
369,sao filipe,14.9,-24.5,75.61,77,86,3.22,CV,1609800429
370,antalaha,-14.9,50.28,73.17,83,33,5.84,MG,1609800429
371,kiruna,67.86,20.23,14.0,92,37,6.93,SE,1609800429
372,snezhnogorsk,69.19,33.25,-5.8,83,40,2.24,RU,1609800429
373,launceston,-41.45,147.17,64.99,67,90,18.34,AU,1609800430
374,taoudenni,22.68,-3.98,66.72,22,42,6.35,ML,1609800430
375,namwala,-15.75,26.44,65.03,97,3,3.67,ZM,1609800430
376,nantucket,41.28,-70.1,39.99,93,90,19.46,US,1609800430
377,luwuk,-0.95,122.79,79.61,75,86,3.94,ID,1609800430
378,beringovskiy,63.05,179.32,-7.56,89,69,17.4,RU,1609800180
379,barraute,48.43,-77.63,26.6,100,90,11.41,CA,1609800430
380,fenoarivo,-18.93,47.44,60.8,93,20,3.36,MG,1609800430
381,erenhot,43.65,111.98,-6.02,81,0,12.28,CN,1609800430
